,Brand,Model,YOM,Fuel Type,Millage(KM),Price
0,AUDI,A1,2016,Petrol,99000.0,100.0
1,AUDI,A1,2017,Petrol,88000.0,97.0
2,AUDI,A1,2018,Petrol,77000.0,98.5
3,AUDI,A1,2017,Petrol,88000.0,107.0
4,AUDI,A1,2017,Petrol,88000.0,99.5
5,AUDI,A1,2018,Petrol,77000.0,91.375
6,AUDI,A1,2017,Petrol,88000.0,104.0
7,AUDI,A1 RS,2016,Petrol,99000.0,105.0
8,AUDI,A3,2018,Petrol,77000.0,139.0
9,AUDI,A3,2018,Petrol,77000.0,139.0
10,AUDI,A3,2018,Petrol,77000.0,139.0
11,AUDI,A3,2018,Petrol,77000.0,139.0
12,AUDI,A3 S LINE,2018,Petrol,77000.0,178.0
13,AUDI,A3 S LINE,2018,Petrol,77000.0,178.0
14,AUDI,A3 S-LINE,2018,Petrol,77000.0,145.0
15,AUDI,A3 SPORTBACK,2017,Petrol,88000.0,125.0
16,AUDI,A3 SPORTBACK,2017,Petrol,88000.0,142.5
17,AUDI,A3 SPORTBACK,2017,Petrol,88000.0,165.0
18,AUDI,A3 TFSI,2018,Petrol,77000.0,149.5
19,AUDI,A3 TFSI,2015,Petrol,110000.0,159.0
20,AUDI,A3 TFSI,2015,Petrol,110000.0,159.0
21,AUDI,A4,2001,Diesel,264000.0,38.8
22,AUDI,A4,2010,Petrol,165000.0,118.0
23,AUDI,A4,2019,Petrol,66000.0,225.0
24,AUDI,A4,2011,Petrol,154000.0,125.0
25,AUDI,A4,2012,Diesel,143000.0,169.0
26,AUDI,A4,1999,Diesel,286000.0,31.5
27,AUDI,A4,2003,Petrol,242000.0,53.6
28,AUDI,A4,2011,Diesel,154000.0,108.0
29,AUDI,A4,2012,Petrol,143000.0,139.0
30,AUDI,A4,2016,Petrol,99000.0,210.0
31,AUDI,A4,2011,Diesel,154000.0,116.5
32,AUDI,A4,2010,Petrol,165000.0,100.0
33,AUDI,A4,2012,Petrol,143000.0,145.0
34,AUDI,A4,2012,Petrol,143000.0,155.0
35,AUDI,A4 1.9 TDI,2001,Diesel,264000.0,5.0
36,AUDI,A4 B8,2011,Petrol,154000.0,112.0
37,AUDI,A4 RS4 CONVERSION,2012,Petrol,143000.0,140.0
38,AUDI,A4 S LINE,2016,Petrol,99000.0,215.0
39,AUDI,A4 S LINE,2010,Petrol,165000.0,102.0
40,AUDI,A5,2018,Petrol,77000.0,316.5
41,AUDI,A5,2014,Petrol,121000.0,220.0
42,AUDI,A6,2011,Petrol,154000.0,114.9
43,AUDI,A6,2013,Petrol,132000.0,180.0
44,AUDI,A6,2012,Petrol,143000.0,149.0
45,AUDI,A6,2013,Diesel,132000.0,180.0
46,AUDI,A6,2001,Diesel,264000.0,48.0
47,AUDI,A6,2013,Petrol,132000.0,180.0
48,AUDI,A6,2003,Diesel,242000.0,48.5
49,AUDI,A6 S LINE,2010,Petrol,165000.0,117.5
50,AUDI,A6 S LINE,2016,Petrol,99000.0,248.0
51,AUDI,A6 T1.8,2004,Petrol,231000.0,16.95
52,AUDI,A6 TFSI,2017,Petrol,88000.0,256.5
53,AUDI,A8L,2013,Diesel,132000.0,25.0
54,AUDI,A8L,2013,Hybrid,132000.0,25.0
55,AUDI,Q4,2024,Electric,11000.0,475.0
56,AUSTIN,CAMBRIDGE,1960,Petrol,715000.0,12.75
57,AUSTIN,COOPER S,1998,Petrol,297000.0,33.5
58,AUSTIN,MINI,1960,Petrol,715000.0,25.0
59,AUSTIN,MINI COOPER,1980,Petrol,495000.0,21.5
60,AUSTIN,MINI COOPER,1969,Petrol,616000.0,24.9
61,AUSTIN,MINI COOPER,1969,Petrol,616000.0,20.5
62,AUSTIN,MINI COOPER,1997,Petrol,308000.0,30.0
63,AUSTIN,MINI COOPER,1995,Petrol,330000.0,26.5
64,AUSTIN,MINI COOPER,1960,Petrol,715000.0,22.95
65,AUSTIN,MINI COOPER,1969,Petrol,616000.0,21.0
66,AUSTIN,MINI COOPER,1980,Petrol,495000.0,23.0
67,AUSTIN,MINI COOPER,1997,Petrol,308000.0,30.0
68,AUSTIN,MINI COOPER,1997,Petrol,308000.0,23.0
69,AUSTIN,MINI COOPER,1980,Petrol,495000.0,21.5
70,AUSTIN,MINI COOPER,1970,Petrol,605000.0,25.25
71,AUSTIN,MINI COOPER,1969,Petrol,616000.0,28.5
72,AUSTIN,MORRIS MINI COOPER,1961,Petrol,704000.0,38.0
73,BAJAJ,QUTE,2019,Petrol,66000.0,9.75
74,BAJAJ,QUTE,2018,Petrol,77000.0,10.5
75,BAJAJ,QUTE,2018,Petrol,77000.0,10.5
76,BAJAJ,QUTE,2019,Petrol,66000.0,13.78125
77,BAJAJ,QUTE,2019,Petrol,66000.0,12.25
78,BAJAJ,QUTE,2019,Petrol,66000.0,10.5
79,BMW,116I,2013,Petrol,132000.0,160.0
80,BMW,316I,2014,Petrol,121000.0,169.0
81,BMW,316I E30,1990,Petrol,385000.0,39.0
82,BMW,316I SPORTS,2015,Petrol,110000.0,178.0
83,BMW,318I,2017,Petrol,88000.0,220.0
